============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.15-s080_1
  Generated on:           Jan 18 2024  10:11:57 pm
  Module:                 picorv32
  Technology libraries:   slow_vdd1v0 1.0
                          physical_cells 
  Operating conditions:   PVT_0P9V_125C 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                 
   Gate     Instances    Area        Library    
------------------------------------------------
ADDFX1            641   3288.330    slow_vdd1v0 
ADDHX1            168    632.016    slow_vdd1v0 
ADDHX2              1      5.130    slow_vdd1v0 
AND2X1            231    316.008    slow_vdd1v0 
AND2X2             12     20.520    slow_vdd1v0 
AND2X4             79    216.144    slow_vdd1v0 
AND2X6             31    116.622    slow_vdd1v0 
AND2X8              1      4.446    slow_vdd1v0 
AND3X1              4      9.576    slow_vdd1v0 
AND3X2              1      2.736    slow_vdd1v0 
AND3X4              9     27.702    slow_vdd1v0 
AND3XL             19     38.988    slow_vdd1v0 
AND4X1              6     14.364    slow_vdd1v0 
AND4X2              1      3.078    slow_vdd1v0 
AND4X4              3     11.286    slow_vdd1v0 
AND4XL              6     14.364    slow_vdd1v0 
AO21X1             59    141.246    slow_vdd1v0 
AO21X4             35    119.700    slow_vdd1v0 
AO22X1            407   1113.552    slow_vdd1v0 
AO22X4              2      7.524    slow_vdd1v0 
AO22XL              8     21.888    slow_vdd1v0 
AOI211X1           19     45.486    slow_vdd1v0 
AOI211X2            5     17.100    slow_vdd1v0 
AOI211XL            3      6.156    slow_vdd1v0 
AOI21X1           123    210.330    slow_vdd1v0 
AOI221X1          362    866.628    slow_vdd1v0 
AOI221X2            4     17.784    slow_vdd1v0 
AOI222X1          229    704.862    slow_vdd1v0 
AOI22X1           585   1200.420    slow_vdd1v0 
AOI2BB1X1          23     47.196    slow_vdd1v0 
AOI31X1            37     75.924    slow_vdd1v0 
AOI32X2             1      4.446    slow_vdd1v0 
BUFX12              1      5.130    slow_vdd1v0 
BUFX2               6     10.260    slow_vdd1v0 
BUFX3               5     10.260    slow_vdd1v0 
BUFX6               1      3.078    slow_vdd1v0 
BUFX8               1      3.762    slow_vdd1v0 
CLKAND2X12          4     30.096    slow_vdd1v0 
CLKINVX20           1      6.498    slow_vdd1v0 
CLKINVX4           19     32.490    slow_vdd1v0 
CLKXOR2X1          45    123.120    slow_vdd1v0 
DFFHQX1           598   3272.256    slow_vdd1v0 
DFFHQX8             1      9.234    slow_vdd1v0 
DFFQX2             37    240.426    slow_vdd1v0 
DFFQX4              8     57.456    slow_vdd1v0 
DFFQXL             31    169.632    slow_vdd1v0 
DFFRX1             11     75.240    slow_vdd1v0 
DFFTRXL             2     15.732    slow_vdd1v0 
DFFX1              51    366.282    slow_vdd1v0 
DFFX2              27    221.616    slow_vdd1v0 
DFFX4               1      9.234    slow_vdd1v0 
EDFFHQX1         1114   9524.700    slow_vdd1v0 
EDFFHQX2           31    275.652    slow_vdd1v0 
EDFFHQX4            1     10.602    slow_vdd1v0 
EDFFHQX8            3     34.884    slow_vdd1v0 
EDFFX2             32    295.488    slow_vdd1v0 
EDFFX4             10    109.440    slow_vdd1v0 
INVX1             256    175.104    slow_vdd1v0 
INVX2              14     14.364    slow_vdd1v0 
INVX3               5      6.840    slow_vdd1v0 
INVX6               2      4.788    slow_vdd1v0 
MDFFHQX1            1      8.550    slow_vdd1v0 
