============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.15-s080_1
  Generated on:           Jan 21 2024  01:56:35 am
  Module:                 picorv32
  Technology libraries:   slow_vdd1v0 1.0
                          physical_cells 
  Operating conditions:   PVT_0P9V_125C 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                 
   Gate     Instances    Area        Library    
------------------------------------------------
ADDFX1            539   2765.070    slow_vdd1v0 
ADDFX2              1      7.866    slow_vdd1v0 
ADDHX1            166    624.492    slow_vdd1v0 
AND2X1            259    354.312    slow_vdd1v0 
AND2X2             10     17.100    slow_vdd1v0 
AND2X4             56    153.216    slow_vdd1v0 
AND2X6             31    116.622    slow_vdd1v0 
AND2X8              1      4.446    slow_vdd1v0 
AND3X2              1      2.736    slow_vdd1v0 
AND3X4             20     61.560    slow_vdd1v0 
AND3X6              1      4.446    slow_vdd1v0 
AND3XL             25     51.300    slow_vdd1v0 
AND4X1             11     26.334    slow_vdd1v0 
AND4X4              3     11.286    slow_vdd1v0 
AND4XL              7     16.758    slow_vdd1v0 
AO21X1             64    153.216    slow_vdd1v0 
AO21X2              1      2.736    slow_vdd1v0 
AO21X4             35    119.700    slow_vdd1v0 
AO22X1            405   1108.080    slow_vdd1v0 
AO22X4              1      3.762    slow_vdd1v0 
AOI211X1           13     31.122    slow_vdd1v0 
AOI211X2            3     10.260    slow_vdd1v0 
AOI211XL            1      2.052    slow_vdd1v0 
AOI21X1           141    241.110    slow_vdd1v0 
AOI21X2             1      2.736    slow_vdd1v0 
AOI21X4             3     15.390    slow_vdd1v0 
AOI221X1          323    773.262    slow_vdd1v0 
AOI221X2            1      4.446    slow_vdd1v0 
AOI222X1          263    809.514    slow_vdd1v0 
AOI22X1           536   1099.872    slow_vdd1v0 
AOI2BB1X1          20     41.040    slow_vdd1v0 
AOI2BB1X2           1      3.078    slow_vdd1v0 
AOI2BB2X1           9     30.780    slow_vdd1v0 
AOI31X1            41     84.132    slow_vdd1v0 
AOI31X2             1      3.420    slow_vdd1v0 
BUFX12              1      5.130    slow_vdd1v0 
BUFX2               9     15.390    slow_vdd1v0 
BUFX3               4      8.208    slow_vdd1v0 
BUFX8               1      3.762    slow_vdd1v0 
CLKAND2X12          4     30.096    slow_vdd1v0 
CLKINVX20           1      6.498    slow_vdd1v0 
CLKINVX4           30     51.300    slow_vdd1v0 
CLKINVX6            2      4.788    slow_vdd1v0 
CLKINVX8            1      3.078    slow_vdd1v0 
